date,ridership Barrie ALLANDALE WATERFRONT GO,ridership Barrie AURORA GO,ridership Barrie BARRIE SOUTH GO,ridership Barrie BRADFORD GO,ridership Barrie KING CITY GO,ridership Barrie MAPLE GO,ridership Barrie RUTHERFORD GO,ridership Barrie UNION STATION,ridership Kitchener BRAMALEA GO,ridership Kitchener GEORGETOWN GO,ridership Kitchener GUELPH CENTRAL GO,ridership Kitchener KITCHENER GO,ridership Kitchener LONDON VIA,ridership Kitchener MALTON GO,ridership Kitchener MOUNT PLEASANT GO,ridership Kitchener UNION STATION,ridership Lakeshore East AJAX GO,ridership Lakeshore East ALDERSHOT GO,ridership Lakeshore East BURLINGTON GO,ridership Lakeshore East DURHAM COLLEGE OSHAWA GO,ridership Lakeshore East GUILDWOOD GO,ridership Lakeshore East NIAGARA FALLS GO (VIA STATION),ridership Lakeshore East OAKVILLE GO,ridership Lakeshore East OSHAWA GO,ridership Lakeshore East PICKERING GO,ridership Lakeshore East PICKERING SOUTH,ridership Lakeshore East UNION STATION,ridership Lakeshore East WEST HARBOUR,ridership Lakeshore East WHITBY GO,ridership Lakeshore West ALDERSHOT GO,ridership Lakeshore West APPLEBY GO,ridership Lakeshore West BRONTE GO,ridership Lakeshore West BURLINGTON GO,ridership Lakeshore West CLARKSON GO,ridership Lakeshore West EXHIBITION GO,ridership Lakeshore West HAMILTON GO CENTRE,ridership Lakeshore West MIMICO GO,ridership Lakeshore West NIAGARA FALLS GO (VIA STATION),ridership Lakeshore West OAKVILLE GO,ridership Lakeshore West OSHAWA GO,ridership Lakeshore West PICKERING SOUTH,ridership Lakeshore West PORT CREDIT GO,ridership Lakeshore West ST. CATHARINES GO (VIA STATION),ridership Lakeshore West UNION STATION,ridership Lakeshore West WEST HARBOUR,ridership Lakeshore West WEST HARBOUR GO,ridership Milton LISGAR GO,ridership Milton MILTON GO,ridership Milton UNION STATION,ridership Richmond Hill BLOOMINGTON GO,ridership Richmond Hill GORMLEY GO,ridership Richmond Hill UNION STATION,ridership Stouffville MILLIKEN GO,ridership Stouffville MOUNT JOY GO,ridership Stouffville OLD ELM GO,ridership Stouffville STOUFFVILLE GO,ridership Stouffville UNION STATION,ridership Stouffville UNIONVILLE GO,total_train_trips Barrie ALLANDALE WATERFRONT GO,total_train_trips Barrie AURORA GO,total_train_trips Barrie BARRIE SOUTH GO,total_train_trips Barrie BRADFORD GO,total_train_trips Barrie KING CITY GO,total_train_trips Barrie MAPLE GO,total_train_trips Barrie RUTHERFORD GO,total_train_trips Barrie UNION STATION,total_train_trips Kitchener BRAMALEA GO,total_train_trips Kitchener GEORGETOWN GO,total_train_trips Kitchener GUELPH CENTRAL GO,total_train_trips Kitchener KITCHENER GO,total_train_trips Kitchener LONDON VIA,total_train_trips Kitchener MALTON GO,total_train_trips Kitchener MOUNT PLEASANT GO,total_train_trips Kitchener UNION STATION,total_train_trips Lakeshore East AJAX GO,total_train_trips Lakeshore East ALDERSHOT GO,total_train_trips Lakeshore East BURLINGTON GO,total_train_trips Lakeshore East DURHAM COLLEGE OSHAWA GO,total_train_trips Lakeshore East GUILDWOOD GO,total_train_trips Lakeshore East NIAGARA FALLS GO (VIA STATION),total_train_trips Lakeshore East OAKVILLE GO,total_train_trips Lakeshore East OSHAWA GO,total_train_trips Lakeshore East PICKERING GO,total_train_trips Lakeshore East PICKERING SOUTH,total_train_trips Lakeshore East UNION STATION,total_train_trips Lakeshore East WEST HARBOUR,total_train_trips Lakeshore East WHITBY GO,total_train_trips Lakeshore West ALDERSHOT GO,total_train_trips Lakeshore West APPLEBY GO,total_train_trips Lakeshore West BRONTE GO,total_train_trips Lakeshore West BURLINGTON GO,total_train_trips Lakeshore West CLARKSON GO,total_train_trips Lakeshore West EXHIBITION GO,total_train_trips Lakeshore West HAMILTON GO CENTRE,total_train_trips Lakeshore West MIMICO GO,total_train_trips Lakeshore West NIAGARA FALLS GO (VIA STATION),total_train_trips Lakeshore West OAKVILLE GO,total_train_trips Lakeshore West OSHAWA GO,total_train_trips Lakeshore West PICKERING SOUTH,total_train_trips Lakeshore West PORT CREDIT GO,total_train_trips Lakeshore West ST. CATHARINES GO (VIA STATION),total_train_trips Lakeshore West UNION STATION,total_train_trips Lakeshore West WEST HARBOUR,total_train_trips Lakeshore West WEST HARBOUR GO,total_train_trips Milton LISGAR GO,total_train_trips Milton MILTON GO,total_train_trips Milton UNION STATION,total_train_trips Richmond Hill BLOOMINGTON GO,total_train_trips Richmond Hill GORMLEY GO,total_train_trips Richmond Hill UNION STATION,total_train_trips Stouffville MILLIKEN GO,total_train_trips Stouffville MOUNT JOY GO,total_train_trips Stouffville OLD ELM GO,total_train_trips Stouffville STOUFFVILLE GO,total_train_trips Stouffville UNION STATION,total_train_trips Stouffville UNIONVILLE GO
2019-01-01,174.0,379.0,,,,,,596.0,,,,,,,,,,2759.0,,,,,,2623.0,,,26.0,,,3321.0,,,,,,,,,,3721.0,,,,14.0,,,,,,,,,,,,,,,3.0,10.0,,,,,,12.0,,,,,,,,,,35.0,,,,,,36.0,,,1.0,,,35.0,,,,,,,,,,36.0,,,,1.0,,,,,,,,,,,,,,
2019-01-02,4218.0,373.0,,604.0,,,,5102.0,162.0,1703.0,,3221.0,,200.0,1280.0,6020.0,,5723.0,97.0,,,,3067.0,11969.0,,771.0,3397.0,33.0,,7745.0,397.0,,863.0,,,2751.0,20.0,,2262.0,10243.0,725.0,,,3742.0,1230.0,,,7304.0,7296.0,,2943.0,2997.0,,,4414.0,,4499.0,174.0,7.0,8.0,,3.0,,,,18.0,1.0,2.0,,4.0,,1.0,9.0,14.0,,33.0,2.0,,,,10.0,56.0,,2.0,14.0,1.0,,34.0,1.0,,2.0,,,4.0,1.0,,11.0,41.0,1.0,,,10.0,2.0,,,10.0,10.0,,5.0,7.0,,,9.0,,14.0,6.0
2019-01-03,4434.0,569.0,,756.0,,,,5636.0,167.0,1731.0,,3365.0,,220.0,1581.0,6412.0,,6738.0,99.0,,,,3176.0,13387.0,,770.0,3615.0,34.0,,9647.0,450.0,,879.0,,,2786.0,16.0,,2557.0,12382.0,599.0,,,3874.0,1273.0,,,7665.0,7662.0,,3025.0,3114.0,,,4622.0,,4783.0,266.0,7.0,8.0,,3.0,,,,18.0,1.0,2.0,,4.0,,1.0,9.0,14.0,,33.0,2.0,,,,10.0,57.0,,2.0,14.0,1.0,,34.0,1.0,,2.0,,,4.0,1.0,,11.0,42.0,1.0,,,10.0,2.0,,,10.0,10.0,,5.0,7.0,,,9.0,,15.0,6.0
2019-01-04,3886.0,413.0,,626.0,,,,4837.0,152.0,1467.0,,2879.0,,199.0,1353.0,5651.0,,6236.0,106.0,,,,2766.0,12218.0,,729.0,3130.0,37.0,,8787.0,383.0,,808.0,,,2469.0,15.0,,2038.0,10929.0,385.0,,,3410.0,1119.0,,,6737.0,6591.0,,2685.0,2711.0,,,4156.0,,4234.0,246.0,7.0,8.0,,3.0,,,,18.0,1.0,2.0,,4.0,,1.0,9.0,14.0,,32.0,2.0,,,,9.0,52.0,,2.0,14.0,1.0,,33.0,1.0,,2.0,,,4.0,1.0,,10.0,38.0,1.0,,,10.0,2.0,,,10.0,10.0,,5.0,7.0,,,9.0,,15.0,6.0
2019-01-05,346.0,533.0,,,,,,670.0,,,,,,,,,,3544.0,,,,,,3981.0,,,226.0,,,5827.0,,,,,,,,,,5270.0,,,,21.0,,,,,,,,,,,,,,,3.0,10.0,,,,,,12.0,,,,,,,,,,33.0,,,,,,35.0,,,1.0,,,33.0,,,,,,,,,,35.0,,,,1.0,,,,,,,,,,,,,,
2019-01-06,220.0,385.0,,,,,,464.0,,,,,,,,,,2636.0,,,,,,2750.0,,,32.0,,,4136.0,,,,,,,,,,3685.0,,,,15.0,,,,,,,,,,,,,,,3.0,10.0,,,,,,12.0,,,,,,,,,,34.0,,,,,,34.0,,,1.0,,,34.0,,,,,,,,,,34.0,,,,1.0,,,,,,,,,,,,,,
2019-01-07,6407.0,283.0,,881.0,,,,7332.0,,1626.0,,5139.0,,774.0,1542.0,8285.0,,7384.0,151.0,,,41.0,4019.0,15185.0,,1525.0,4510.0,,,10110.0,603.0,,1325.0,,,4433.0,31.0,1169.0,3013.0,13303.0,371.0,,,6987.0,842.0,,,10407.0,10173.0,,4184.0,4233.0,,,6080.0,,6189.0,179.0,7.0,7.0,,3.0,,,,17.0,,2.0,,4.0,,1.0,9.0,14.0,,28.0,2.0,,,1.0,8.0,45.0,,2.0,12.0,,,29.0,1.0,,2.0,,,4.0,1.0,1.0,9.0,31.0,1.0,,,10.0,1.0,,,10.0,10.0,,5.0,7.0,,,8.0,,13.0,5.0
2019-01-08,6335.0,332.0,,930.0,,,,7367.0,,1554.0,,5747.0,,288.0,1572.0,8294.0,,7432.0,150.0,,,39.0,4056.0,15572.0,,1001.0,4486.0,,,9965.0,737.0,,1421.0,,,4486.0,27.0,1182.0,3162.0,13972.0,453.0,,,6614.0,877.0,,,10533.0,10244.0,,4161.0,4240.0,,,6209.0,,6213.0,158.0,7.0,8.0,,3.0,,,,18.0,,2.0,,5.0,,1.0,9.0,14.0,,33.0,2.0,,,1.0,10.0,57.0,,2.0,13.0,,,34.0,1.0,,2.0,,,4.0,1.0,1.0,11.0,42.0,1.0,,,8.0,1.0,,,10.0,10.0,,5.0,7.0,,,9.0,,14.0,5.0
2019-01-09,6251.0,284.0,,927.0,,,,7353.0,,2798.0,,4123.0,,305.0,1618.0,8083.0,,7576.0,124.0,,,42.0,4034.0,15026.0,,1523.0,4447.0,,,9597.0,666.0,,1303.0,,,4317.0,19.0,1136.0,3175.0,13222.0,512.0,,,6676.0,842.0,,,10459.0,10134.0,,4141.0,4154.0,,,6153.0,,6225.0,159.0,7.0,7.0,,3.0,,,,17.0,,2.0,,3.0,,1.0,9.0,14.0,,32.0,2.0,,,1.0,10.0,55.0,,2.0,13.0,,,33.0,1.0,,2.0,,,4.0,1.0,1.0,11.0,40.0,1.0,,,10.0,1.0,,,10.0,10.0,,5.0,7.0,,,9.0,,14.0,5.0
2019-01-10,6213.0,320.0,,940.0,,,,7362.0,,1496.0,,5585.0,,296.0,1542.0,8073.0,,7105.0,139.0,,,41.0,4092.0,15210.0,,890.0,4314.0,,,8961.0,694.0,,1381.0,,,4337.0,23.0,1180.0,3309.0,12979.0,482.0,,,6575.0,840.0,,,10454.0,10089.0,,4111.0,4098.0,,,6141.0,,6116.0,134.0,7.0,8.0,,3.0,,,,18.0,,2.0,,5.0,,1.0,9.0,14.0,,31.0,2.0,,,1.0,10.0,57.0,,2.0,14.0,,,32.0,1.0,,2.0,,,4.0,1.0,1.0,11.0,42.0,1.0,,,10.0,1.0,,,10.0,10.0,,5.0,7.0,,,9.0,,14.0,5.0
