,model,ts,mse,rmse,R2,time (min)
0,ARIMA,Metrolinx_Barrie_ALLANDALE WATERFRONT GO_Data,2055632.9283161082,1433.7478607886771,-0.7895198693404633,1.2001225883333366
1,LSTM,Metrolinx_Barrie_ALLANDALE WATERFRONT GO_Data,3450533.4311002907,1857.56115137572,-2.00384278229851,6.940892418333336
2,Prophet,Metrolinx_Barrie_ALLANDALE WATERFRONT GO_Data,550028.0817810969,741.6387812008599,0.5211760974033522,0.0839815250000053
3,ARIMA,Metrolinx_Barrie_AURORA GO_Data,84279.99204704173,290.3101652492412,-0.8707348855966266,0.9936165916666747
4,LSTM,Metrolinx_Barrie_AURORA GO_Data,159561.72026442565,399.45177464172775,-2.541738308872428,6.9825283783333365
5,Prophet,Metrolinx_Barrie_AURORA GO_Data,11656.933615083444,107.96728029863235,0.7412549308185887,0.09554746833332502
6,ARIMA,Metrolinx_Barrie_UNION STATION_Data,3088077.2358788988,1757.292586873028,-1.4360001751571563,0.8245282633333317
7,LSTM,Metrolinx_Barrie_UNION STATION_Data,5683112.5527140405,2383.9279671823224,-3.483068950802674,7.1613082
8,Prophet,Metrolinx_Barrie_UNION STATION_Data,809423.269594978,899.679537165861,0.36149419982092423,0.09194947166667286
9,ARIMA,Metrolinx_Lakeshore East_UNION STATION_Data,20869683.07750012,4568.334825458847,-2.063682611887842,1.1364660249999967
10,LSTM,Metrolinx_Lakeshore East_UNION STATION_Data,35106920.73304876,5925.109343552131,-4.153718061139333,7.046958541666664
11,Prophet,Metrolinx_Lakeshore East_UNION STATION_Data,3449942.099642557,1857.4019757829906,0.49354632825786016,0.09567578666666729
12,ARIMA,Metrolinx_Lakeshore East_OSHAWA GO_Data,10600199.989620363,3255.7948322368784,-0.26124992540208747,0.5827829466666723
13,LSTM,Metrolinx_Lakeshore East_OSHAWA GO_Data,46493415.279199645,6818.608016244932,-4.531953794267891,6.613413788333324
14,Prophet,Metrolinx_Lakeshore East_OSHAWA GO_Data,3716981.0753779816,1927.9473736017749,0.5577402210682868,0.0753647449999941
15,ARIMA,Metrolinx_Lakeshore West_UNION STATION_Data,43211666.9853931,6573.558167795665,-1.6462251340654435,0.5163643849999972
16,LSTM,Metrolinx_Lakeshore West_UNION STATION_Data,48525165.44113428,6966.000677658184,-1.9716167272236795,7.18272453333334
17,Prophet,Metrolinx_Lakeshore West_UNION STATION_Data,8146776.444377029,2854.255847743336,0.5011022232488705,0.08538523499999731
18,ARIMA,Metrolinx_Lakeshore West_ALDERSHOT GO_Data,12651263.942475092,3556.8615298427194,-1.4729515167647502,0.579358296666669
19,LSTM,Metrolinx_Lakeshore West_ALDERSHOT GO_Data,13807145.214182587,3715.796713247724,-1.6988924470201185,7.507331036666665
20,Prophet,Metrolinx_Lakeshore West_ALDERSHOT GO_Data,1391344.8206380347,1179.5528053622843,0.7280328431859067,0.09417291833333366
21,ARIMA,Metrolinx_Lakeshore West_HAMILTON GO CENTRE_Data,1378594.4233155698,1174.1356068681205,-1.3942773775615027,0.8434706699999879
22,LSTM,Metrolinx_Lakeshore West_HAMILTON GO CENTRE_Data,1088855.1314458868,1043.4822142451144,-0.8910719241070642,7.214859816666679
23,Prophet,Metrolinx_Lakeshore West_HAMILTON GO CENTRE_Data,309583.2596835983,556.4020665702081,0.46233048487929707,0.08662222500000401
24,ARIMA,Metrolinx_Kitchener_UNION STATION_Data,3597639.7538866834,1896.744514658388,-0.24738887581681257,0.7800448450000051
25,LSTM,Metrolinx_Kitchener_UNION STATION_Data,6772796.1375857415,2602.4596322682396,-1.348292530143536,7.446251900000001
26,Prophet,Metrolinx_Kitchener_UNION STATION_Data,861284.5365092579,928.0541667969914,0.7013717817093793,0.09026377000000138
27,ARIMA,Metrolinx_Kitchener_KITCHENER GO_Data,5939522.786932441,2437.1136179777177,-2.1481011874529123,0.4938626299999972
28,LSTM,Metrolinx_Kitchener_KITCHENER GO_Data,3341113.245172309,1827.8712332033429,-0.770876710445936,8.338663475000006
29,Prophet,Metrolinx_Kitchener_KITCHENER GO_Data,428634.4901981775,654.7018330493489,0.772812598590422,0.10675498333333357
30,ARIMA,Metrolinx_Kitchener_MOUNT PLEASANT GO_Data,416834.7958458007,645.6274435352022,-2.181842533933715,1.1870515299999775
31,LSTM,Metrolinx_Kitchener_MOUNT PLEASANT GO_Data,250116.73734832832,500.1167237239006,-0.9092265839487157,8.092103399999996
32,Prophet,Metrolinx_Kitchener_MOUNT PLEASANT GO_Data,28303.513961149078,168.2364822538473,0.7839495995082769,0.09407544499999858
33,ARIMA,Metrolinx_Milton_UNION STATION_Data,1818460.4870945055,1348.5030541658055,-0.20561342989284825,0.6738567866666624
34,LSTM,Metrolinx_Milton_UNION STATION_Data,3419330.941210186,1849.1432992632524,-1.2669677637911265,8.17379406166668
35,Prophet,Metrolinx_Milton_UNION STATION_Data,878826.8832459113,937.4576701088489,0.41735028035443855,0.08830330500001461
36,ARIMA,Metrolinx_Milton_MILTON GO_Data,2189601.269853944,1479.7301341305258,-0.2503147976734601,0.6483364549999957
37,LSTM,Metrolinx_Milton_MILTON GO_Data,2983731.432236026,1727.3480923762952,-0.7037821512850044,8.755329318333315
38,Prophet,Metrolinx_Milton_MILTON GO_Data,1040368.9426416146,1019.9847756910956,0.4059244018836954,0.09361042999998972
39,ARIMA,Metrolinx_Richmond Hill_UNION STATION_Data,207053.4948032105,455.03131189316025,-0.2621875696564382,1.0079972733333307
40,LSTM,Metrolinx_Richmond Hill_UNION STATION_Data,321904.1675708948,567.3659908479665,-0.9623114273668689,8.501960873333337
41,Prophet,Metrolinx_Richmond Hill_UNION STATION_Data,185533.2098294663,430.7356612000756,-0.13100100738594733,0.08855058333332029
42,ARIMA,Metrolinx_Stouffville_UNION STATION_Data,1850305.8379228066,1360.2594744837495,-1.1812176748982242,0.8254437416666709
43,LSTM,Metrolinx_Stouffville_UNION STATION_Data,1287641.2329976626,1134.7428047789783,-0.5179251768968467,8.88956755333332
44,Prophet,Metrolinx_Stouffville_UNION STATION_Data,609233.2061831804,780.5339237875446,0.2818104930407148,0.09480610166665429
45,ARIMA,Metrolinx_Stouffville_OLD ELM GO_Data,976278.2566312982,988.0679413032781,-0.37734612577090765,0.761124548333343
46,LSTM,Metrolinx_Stouffville_OLD ELM GO_Data,1395320.6248732393,1181.2369046356616,-0.9685365763535598,9.18478558333333
47,Prophet,Metrolinx_Stouffville_OLD ELM GO_Data,484734.4358874099,696.2287238310481,0.31613032169637434,0.09270461500000238
48,ARIMA,Metrolinx_Stouffville_MOUNT JOY GO_Data,122998.0701855607,350.71080705555784,-0.5472177017426645,0.4555723983333337
49,LSTM,Metrolinx_Stouffville_MOUNT JOY GO_Data,253094.02134641274,503.0845071619804,-2.1837210896206103,8.81523872166669
50,Prophet,Metrolinx_Stouffville_MOUNT JOY GO_Data,23166.66539319654,152.20599657436807,0.7085818116282059,0.07170138333331125
